N,K,SetOMPThreads,RunNumber,Time,Throughput,ReportedThreads
65536,1000,1,1,1.212147,54066.068388,1
65536,1000,1,2,1.215213,53929.628290,1
65536,1000,1,3,1.230816,53245.958700,1
65536,1000,1,4,1.204722,54399.270076,1
65536,1000,1,5,1.200363,54596.840263,1
65536,1000,8,1,0.199577,328374.257065,8
65536,1000,8,2,0.198709,329808.670942,8
65536,1000,8,3,0.205417,319038.848768,8
65536,1000,8,4,0.209875,312261.754258,8
65536,1000,8,5,0.214995,304825.536257,8
65536,1000,16,1,0.424060,154544.191255,16
65536,1000,16,2,0.432744,151442.885404,16
65536,1000,16,3,0.435484,150489.858423,16
65536,1000,16,4,0.398009,164659.440043,16
65536,1000,16,5,0.411323,159329.608218,16
131072,1000,1,1,2.737148,47886.331638,1
131072,1000,1,2,2.610899,50201.859471,1
131072,1000,1,3,2.608355,50250.826603,1
131072,1000,1,4,2.597750,50455.978254,1
131072,1000,1,5,2.608547,50247.124002,1
131072,1000,8,1,0.411355,318634.488643,8
131072,1000,8,2,0.428057,306202.073329,8
131072,1000,8,3,0.409300,320234.394998,8
131072,1000,8,4,0.416156,314958.838506,8
131072,1000,8,5,0.408545,320826.717811,8
131072,1000,16,1,0.699322,187427.124735,16
131072,1000,16,2,0.705888,185683.886257,16
131072,1000,16,3,0.691737,189482.467921,16
131072,1000,16,4,0.717142,182769.901342,16
131072,1000,16,5,0.728005,180042.643311,16
262144,1000,1,1,8.462761,30976.177795,1
262144,1000,1,2,5.480258,47834.241655,1
262144,1000,1,3,8.825443,29703.212276,1
262144,1000,1,4,9.009996,29094.795696,1
262144,1000,1,5,9.271347,28274.639901,1
262144,1000,8,1,0.835892,313610.043373,8
262144,1000,8,2,0.875622,299380.467090,8
262144,1000,8,3,0.851306,307931.554184,8
262144,1000,8,4,0.834556,314112.049763,8
262144,1000,8,5,0.848579,308921.048519,8
262144,1000,16,1,1.213599,216005.386407,16
262144,1000,16,2,1.175927,222925.313577,16
262144,1000,16,3,1.253568,209118.281231,16
262144,1000,16,4,1.352906,193763.576801,16
262144,1000,16,5,1.379704,190000.109773,16
524288,1000,1,1,11.070673,47358.276561,1
524288,1000,1,2,14.290426,36688.060553,1
524288,1000,1,3,11.137024,47076.131015,1
524288,1000,1,4,11.104773,47212.850560,1
524288,1000,1,5,11.139831,47064.268217,1
524288,1000,8,1,1.654853,316818.469831,8
524288,1000,8,2,1.646327,318459.193004,8
524288,1000,8,3,1.785135,293696.526871,8
524288,1000,8,4,1.778479,294795.662334,8
524288,1000,8,5,1.654291,316926.149634,8
524288,1000,16,1,2.013050,260444.648543,16
524288,1000,16,2,2.112900,248136.677957,16
524288,1000,16,3,2.081860,251836.395878,16
524288,1000,16,4,2.032972,257892.435977,16
524288,1000,16,5,2.129963,246148.871449,16
1048576,1000,1,1,25.532317,41068.579478,1
1048576,1000,1,2,23.106205,45380.710337,1
1048576,1000,1,3,26.914512,38959.503085,1
1048576,1000,1,4,26.732975,39224.066887,1
1048576,1000,1,5,22.971579,45646.666749,1
1048576,1000,8,1,3.237619,323872.555350,8
1048576,1000,8,2,2.957306,354571.332994,8
1048576,1000,8,3,3.026357,346481.217157,8
1048576,1000,8,4,3.104167,337796.265232,8
1048576,1000,8,5,3.334265,314484.931461,8
1048576,1000,16,1,4.126404,254113.756087,16
1048576,1000,16,2,4.594763,228211.100110,16
1048576,1000,16,3,4.582291,228832.234227,16
1048576,1000,16,4,4.125303,254181.545693,16
1048576,1000,16,5,4.682817,223919.902077,16
