N,K,SetOMPThreads,RunNumber,Time,Throughput,ReportedThreads
1048576,1000,1,1,26.923477,38946.529532,1
1048576,1000,1,2,22.989453,45611.176317,1
1048576,1000,1,3,23.265540,45069.918884,1
1048576,1000,1,4,22.903321,45782.704555,1
1048576,1000,1,5,22.881361,45826.645354,1
1048576,1000,2,1,11.392001,92044.938116,2
1048576,1000,2,2,11.423798,91788.735868,2
1048576,1000,2,3,11.457173,91521.359035,2
1048576,1000,2,4,11.445698,91613.114796,2
1048576,1000,2,5,11.448929,91587.256844,2
1048576,1000,3,1,7.529689,139258.865916,3
1048576,1000,3,2,7.533677,139185.157606,3
1048576,1000,3,3,7.547528,138929.726819,3
1048576,1000,3,4,7.525990,139327.317031,3
1048576,1000,3,5,9.379795,111790.925531,3
1048576,1000,4,1,6.870301,152624.456778,4
1048576,1000,4,2,6.318381,165956.439832,4
1048576,1000,4,3,7.849790,133580.130468,4
1048576,1000,4,4,7.621314,137584.679875,4
1048576,1000,4,5,8.251324,127079.726734,4
1048576,1000,5,1,5.224249,200713.239278,5
1048576,1000,5,2,7.142265,146812.810783,5
1048576,1000,5,3,5.009264,209327.349869,5
1048576,1000,5,4,6.310947,166151.923458,5
1048576,1000,5,5,4.622121,226860.370502,5
1048576,1000,6,1,4.987018,210261.141118,6
1048576,1000,6,2,5.197099,201761.789830,6
1048576,1000,6,3,4.043479,259325.200103,6
1048576,1000,6,4,4.126184,254127.324086,6
1048576,1000,6,5,4.799368,218482.081616,6
1048576,1000,7,1,3.744033,280065.907611,7
1048576,1000,7,2,3.780568,277359.415326,7
1048576,1000,7,3,3.780768,277344.692805,7
1048576,1000,7,4,3.794944,276308.676893,7
1048576,1000,7,5,4.346746,241232.410117,7
1048576,1000,8,1,3.500412,299557.910484,8
1048576,1000,8,2,3.046488,344191.710931,8
1048576,1000,8,3,3.087001,339674.703748,8
1048576,1000,8,4,3.034864,345510.062773,8
1048576,1000,8,5,3.004301,349025.001223,8
1048576,1000,9,1,6.119242,171357.181444,9
1048576,1000,9,2,6.094927,172040.793586,9
1048576,1000,9,3,6.117274,171412.305536,9
1048576,1000,9,4,6.087258,172257.536538,9
1048576,1000,9,5,6.081548,172419.270923,9
1048576,1000,10,1,5.634708,186092.348106,10
1048576,1000,10,2,5.692847,184191.840056,10
1048576,1000,10,3,5.715061,183475.893615,10
1048576,1000,10,4,5.852278,179173.998568,10
1048576,1000,10,5,5.981509,175302.911733,10
1048576,1000,11,1,5.575393,188072.130429,11
1048576,1000,11,2,5.632507,186165.046370,11
1048576,1000,11,3,5.452858,192298.416440,11
1048576,1000,11,4,5.584946,187750.438155,11
1048576,1000,11,5,5.727298,183083.877093,11
1048576,1000,12,1,5.265451,199142.665733,12
1048576,1000,12,2,5.178110,202501.675554,12
1048576,1000,12,3,5.199388,201672.964575,12
1048576,1000,12,4,5.382141,194825.084770,12
1048576,1000,12,5,5.285438,198389.604339,12
1048576,1000,13,1,4.966902,211112.698339,13
1048576,1000,13,2,5.152547,203506.344786,13
1048576,1000,13,3,5.098039,205682.235061,13
1048576,1000,13,4,5.016568,209022.576187,13
1048576,1000,13,5,5.013218,209162.272211,13
1048576,1000,14,1,4.898884,214043.861362,14
1048576,1000,14,2,4.785702,219105.991561,14
1048576,1000,14,3,4.856131,215928.282572,14
1048576,1000,14,4,5.045297,207832.375927,14
1048576,1000,14,5,4.957725,211503.456351,14
1048576,1000,15,1,4.713861,222445.250814,15
1048576,1000,15,2,4.847396,216317.362428,15
1048576,1000,15,3,4.778708,219426.655716,15
1048576,1000,15,4,4.649715,225514.013554,15
1048576,1000,15,5,4.612196,227348.556470,15
1048576,1000,16,1,4.690436,223556.196381,16
1048576,1000,16,2,4.665039,224773.275657,16
1048576,1000,16,3,4.659900,225021.125140,16
1048576,1000,16,4,4.684182,223854.664184,16
1048576,1000,16,5,4.737480,221336.248717,16
