N_Calculated,K,SetOMPThreads,RunNumber,Time,Throughput,ReportedThreads
65536,1000,1,1,1.459132,44914.382955,1
65536,1000,1,2,1.240979,52809.924323,1
65536,1000,1,3,1.239081,52890.801191,1
65536,1000,1,4,1.252503,52324.010910,1
65536,1000,1,5,1.237005,52979.563548,1
131072,1000,2,1,1.535921,85337.711281,2
131072,1000,2,2,1.379915,94985.557676,2
131072,1000,2,3,1.639719,79935.656674,2
131072,1000,2,4,1.545314,84819.034116,2
131072,1000,2,5,1.373191,95450.690828,2
196608,1000,3,1,1.628768,120709.670750,3
196608,1000,3,2,1.633848,120334.346158,3
196608,1000,3,3,1.433885,137115.567739,3
196608,1000,3,4,1.476438,133163.696823,3
196608,1000,3,5,1.576863,124683.030077,3
262144,1000,4,1,1.644342,159421.852818,4
262144,1000,4,2,1.686502,155436.500192,4
262144,1000,4,3,1.439551,182101.176424,4
262144,1000,4,4,1.679601,156075.204258,4
262144,1000,4,5,1.656107,158289.302084,4
327680,1000,5,1,1.641282,199648.752727,5
327680,1000,5,2,1.673466,195809.163777,5
327680,1000,5,3,1.628882,201168.600601,5
327680,1000,5,4,1.647092,198944.540445,5
327680,1000,5,5,1.642649,199482.610364,5
393216,1000,6,1,1.662734,236487.595124,6
393216,1000,6,2,1.648290,238560.014537,6
393216,1000,6,3,1.659815,236903.478932,6
393216,1000,6,4,1.710443,229891.322170,6
393216,1000,6,5,1.677983,234338.541320,6
458752,1000,7,1,1.636400,280342.213757,7
458752,1000,7,2,1.775015,258449.610068,7
458752,1000,7,3,1.549643,296037.161103,7
458752,1000,7,4,1.592560,288059.494293,7
458752,1000,7,5,1.666070,275349.775550,7
524288,1000,8,1,1.565413,334920.024147,8
524288,1000,8,2,1.771688,295925.718516,8
524288,1000,8,3,1.816543,288618.501048,8
524288,1000,8,4,1.666805,314546.774143,8
524288,1000,8,5,1.728570,303307.432331,8
589824,1000,9,1,3.336853,176760.553812,9
589824,1000,9,2,3.269862,180381.945448,9
589824,1000,9,3,3.340280,176579.211572,9
589824,1000,9,4,3.293221,179102.464467,9
589824,1000,9,5,3.399217,173517.593154,9
655360,1000,10,1,3.719053,176216.907836,10
655360,1000,10,2,3.730603,175671.340919,10
655360,1000,10,3,3.725607,175906.914172,10
655360,1000,10,4,3.755235,174519.019222,10
655360,1000,10,5,3.699876,177130.281788,10
720896,1000,11,1,3.653873,197296.392330,11
720896,1000,11,2,3.659633,196985.869668,11
720896,1000,11,3,3.854033,187049.757316,11
720896,1000,11,4,3.848007,187342.686169,11
720896,1000,11,5,3.821803,188627.207707,11
786432,1000,12,1,3.690123,213118.121378,12
786432,1000,12,2,3.935730,199818.599282,12
786432,1000,12,3,3.902981,201495.219036,12
786432,1000,12,4,3.795056,207225.416299,12
786432,1000,12,5,3.765619,208845.325524,12
851968,1000,13,1,3.831537,222356.723979,13
851968,1000,13,2,3.788482,224883.718344,13
851968,1000,13,3,4.079638,208834.225684,13
851968,1000,13,4,3.821705,222928.765314,13
851968,1000,13,5,3.844993,221578.576434,13
917504,1000,14,1,3.981430,230445.816589,14
917504,1000,14,2,4.219500,217443.792180,14
917504,1000,14,3,4.172907,219871.680470,14
917504,1000,14,4,4.218210,217510.280485,14
917504,1000,14,5,4.326621,212060.180135,14
983040,1000,15,1,4.311130,228023.726903,15
983040,1000,15,2,3.923933,250524.158870,15
983040,1000,15,3,4.006284,245374.508673,15
983040,1000,15,4,4.449122,220951.449657,15
983040,1000,15,5,4.525973,217199.714837,15
1048576,1000,16,1,4.672460,224416.253901,16
1048576,1000,16,2,4.224539,248210.760274,16
1048576,1000,16,3,4.223967,248244.350544,16
1048576,1000,16,4,5.093615,205860.884689,16
1048576,1000,16,5,4.534224,231258.073953,16
